Date,Upright-Pct Volatility-21,Inverted-Pct Volatility-21,Reflecting-Pct Volatility-21,Upright-Markets Money-21,Inverted-Markets Money-21,Reflecting-Markets Money-21,Upright-MultiTier-21,Inverted-MultiTier-21,Reflecting-MultiTier-21,Upright-Pct Volatility-45,Inverted-Pct Volatility-45,Reflecting-Pct Volatility-45,Upright-Markets Money-45,Inverted-Markets Money-45,Reflecting-Markets Money-45,Upright-MultiTier-45,Inverted-MultiTier-45,Reflecting-MultiTier-45
2006-06-16,3.450892556631964e-05,2.6740841584086777e-05,4.532758404439674e-05,1.5896289229599958e-05,-3.3432777853873812e-06,3.080708660079997e-05,2.758323468313358e-05,9.76729636647707e-06,4.4790571915161635e-05,1.9537542187701243e-05,1.4783306706604252e-05,-8.028988636136584e-06,-3.6466986321759263e-07,-1.4328266725738282e-05,-6.167086772716676e-05,4.649262550904254e-06,-1.9800104625515107e-05,-6.463611949938385e-05
2006-06-19,-0.00010007933742220976,-8.501994523187524e-05,-0.00010149073446590329,-8.594310154009059e-05,-7.026281019211582e-05,-8.610964948129185e-05,-0.00012373111879507108,-0.0001040838587132072,-0.00011175656199370702,-9.06195758678822e-05,-7.849174608803115e-05,-0.00012104926902189265,-8.17597773950703e-05,-7.250425775352879e-05,-0.00013113977913716454,-0.00012061729716737654,-0.00010151469396759334,-0.00018769597848550257
2006-06-20,1.7592227557616803e-05,4.602858543060565e-06,9.645422783692107e-06,1.6049298415106902e-06,2.0760861664026463e-06,1.3864153651788058e-06,1.1075164774506282e-05,-5.34000746169235e-06,4.516609397782941e-06,1.1262767657801061e-06,-1.4277695738107443e-05,1.1418661936942372e-05,-3.603476661617755e-07,-1.4049777548545233e-05,2.1486018545232208e-05,4.8478416748561535e-06,-1.2765637181303784e-05,3.78483270949248e-05
2006-06-21,0.00017779592673838144,0.00014968880405712796,0.00015946945730255607,0.00021556564557067374,0.00017518890779364045,0.00017451051457464026,0.00030023205749429106,0.0002560118470168571,0.0002539711275760211,0.00014139500495628324,0.00012814731896343783,0.00015185718463891126,0.00017415093219122675,0.0001597054914859249,0.00019622527258847573,0.00025495985304198793,0.00023153677408792965,0.0002841483241753521
2006-06-22,-0.0001503392122494433,-0.00012944160124415868,-0.00013386944410983536,-0.00016531656453641814,-0.00014530043519968375,-0.0001377232052790315,-0.000245711430856758,-0.0002139389372224576,-0.0002035130696878884,-9.299103049136652e-05,-9.053919223973583e-05,-0.00010009067563225098,-0.00011940233707089151,-0.00011667413252676913,-0.00013771475070063118,-0.00018380944748038012,-0.00018070452186443134,-0.00020974571015147287
2006-06-23,-0.00012123918474593228,-8.534687722143349e-05,-9.135294531393464e-05,-0.00014088551445691212,-0.00010654808426153369,-8.394031873731889e-05,-0.00019301073702197394,-0.00014572250585612363,-0.00012228983010161842,-4.5031028584611535e-05,-3.930466623142115e-05,-5.001047873059254e-05,-6.543638723751632e-05,-6.591416493217558e-05,-7.867860586986038e-05,-0.00010699924965972644,-0.00010002836172635643,-0.00011648392330651328
2006-06-26,5.6029825410608415e-05,2.4704931864564608e-05,5.9884175056401644e-05,7.125971398216727e-05,4.139943686007526e-05,6.329774802310192e-05,0.0001002348038419106,5.903079411758716e-05,9.445319030908876e-05,-1.9502451086705895e-05,-2.420122846340152e-05,-6.83078803291511e-06,-1.2595604582540017e-05,-1.0949283154256435e-05,1.03444598699635e-05,-1.7439435057042817e-05,-1.4389068643179866e-05,8.17729601936638e-06
2006-06-27,-0.00026572803751950813,-0.0002487427720865631,-0.000298684858206566,-0.00034014094179865746,-0.000306273593056187,-0.0003630737301073735,-0.00046508977081342423,-0.0004224039389820966,-0.000520600827317134,-0.00027677639927857766,-0.0002619054259926886,-0.0002925896948578551,-0.00033815863034347693,-0.0003161930650680674,-0.00037768237258493096,-0.0004971417331995576,-0.0004668219820031294,-0.0005345253848516103
2006-06-28,8.990336726367731e-05,4.5066438379922266e-05,8.29148993172731e-05,9.539438231498017e-05,3.388633871107919e-05,7.134794761323912e-05,0.00014863881577500035,4.4202681336269475e-05,0.00014240984847877503,-4.4124417509191126e-05,-3.752985187121712e-05,-6.27096876045082e-05,-4.081052218096737e-05,-5.7602576279784196e-05,-5.814522493235626e-05,-2.3581069028089095e-05,-5.3227236471501774e-05,-6.0373442196985185e-05
2006-06-29,0.0006560813659371482,0.0005866261494754739,0.0006798387707944128,0.0007368718460722105,0.0006211187646439021,0.0007672966429415136,0.0010137107041277979,0.0008850896822478008,0.0010175769588706659,0.0004768563978612176,0.00044028593914857326,0.0005027211197909831,0.0005748729588298678,0.0005049754187268051,0.0006132957850449057,0.0008477918710055506,0.0007281610485613414,0.0008662809482723096
2006-06-30,-0.00022498676151369394,-0.00021620823576998423,-0.00018795701270442057,-0.0003301972180065375,-0.0002826955001059857,-0.000292975092303327,-0.00043347776261119336,-0.00037876951736166565,-0.00035109288061804247,-0.00010040852633525314,-7.097116087647255e-05,-9.907898333008832e-05,-0.0002022899223862303,-0.00013197081469128457,-0.00020474996663698563,-0.00029666269815248336,-0.00018208847183253106,-0.00027289154208504454
2006-07-03,0.00033344942672404915,0.00029395306065277405,0.0003505206524163492,0.0004215984090998511,0.0003432817688316899,0.0004363833096814799,0.0006268312322073329,0.0005155407182552585,0.0006168500211241156,0.00024160725612795141,0.00020175443783649883,0.0002512259178207373,0.0002807031804453297,0.00025197317173911713,0.00030174624749020886,0.0004213970655326434,0.0003477161588712363,0.0004561127192052076
2006-07-05,-0.0004229631329552045,-0.00038747001628105886,-0.00048111793901488195,-0.0004654839663083443,-0.00041119305791176286,-0.000550437123507171,-0.0006541007427659543,-0.0005748701004844629,-0.0007812028998257873,-0.00038334481877469646,-0.0003293517506195072,-0.0004115414736087194,-0.00039646445667800657,-0.00035542090378389105,-0.00045163508934400836,-0.0005804567031100475,-0.0004914490928290105,-0.0006662722383049583
